id,cluster
367867,-1
367868,102
367869,-1
367870,100
367871,3
367872,3
367873,3
367874,102
367875,70
367876,-1
367877,93
367878,-1
367879,47
367880,45
367881,103
367882,-1
367883,60
367884,1
367885,-1
367886,21
367887,-1
367888,38
367889,-1
367890,-1
367891,-1
367892,103
367893,-1
367894,67
367895,101
367896,45
367897,-1
367898,67
367899,103
367900,78
367901,22
367902,6
367903,22
367904,103
367905,90
367906,100
367907,-1
367908,-1
367909,-1
367910,-1
367911,-1
367912,15
367913,74
367914,52
367915,-1
367916,65
367917,16
367918,102
367919,16
367920,58
367921,86
367922,5
367923,91
367924,-1
367925,-1
367926,-1
367927,59
367928,58
367929,7
367930,69
367931,75
367932,-1
367933,69
367934,12
367935,103
367936,90
367937,-1
367938,20
367939,58
367940,-1
367941,58
367942,-1
367943,7
367944,58
367945,67
367946,-1
367947,67
367948,-1
367949,83
367950,65
367951,78
367952,58
367953,3
367954,78
367955,67
367956,17
367957,63
367958,67
367959,-1
367960,-1
367961,48
367962,12
367963,58
367964,-1
367966,0
367967,2
367968,-1
367969,7
367970,-1
367971,33
367972,85
367973,89
367974,-1
367975,18
367976,55
367977,48
367978,95
367979,70
367980,95
367981,-1
367982,64
367983,64
367984,-1
367985,34
367986,-1
367987,103
367988,78
367989,60
367990,81
367991,65
367992,54
367993,78
367994,-1
367995,63
367996,-1
367997,-1
367998,55
367999,75
368000,64
368001,-1
368002,81
368003,25
368004,49
368005,-1
368006,89
368007,30
368008,50
368009,-1
368010,-1
368011,38
368012,91
368013,91
368014,92
368015,-1
368016,73
368017,75
368018,75
368019,-1
368020,91
368021,8
368022,-1
368023,51
368024,13
368025,-1
368026,-1
368027,1
368028,-1
368029,81
368030,15
368031,69
368032,45
368033,93
368034,-1
368035,-1
368036,-1
368037,91
368038,-1
368039,58
368040,90
368041,-1
368042,58
368043,49
368044,69
368045,15
368046,-1
368047,-1
368048,24
368049,84
368050,19
368051,93
368052,-1
368053,-1
368054,18
368055,11
368056,98
368057,58
368058,58
368059,-1
368060,103
368061,58
368062,89
368063,81
368064,70
368065,70
368066,-1
368067,58
368068,91
368069,78
368070,-1
368071,81
368072,36
368073,-1
368074,58
368075,-1
368076,36
368077,10
368078,69
368079,10
368080,56
368081,99
368082,5
368083,58
368084,76
368085,-1
368086,47
368087,91
368088,63
368089,51
368090,92
368091,93
368092,58
368093,-1
368094,69
368095,58
368096,58
368097,58
368098,62
368099,-1
368100,67
368101,58
368102,-1
368103,58
368104,53
368105,58
368106,-1
368107,72
368108,70
368109,58
368110,64
368111,40
368112,58
368113,63
368114,-1
368115,30
368116,89
368117,-1
368118,12
368119,-1
368120,58
368121,63
368122,63
368123,67
368125,81
368126,65
368127,-1
368128,-1
368129,-1
368131,1
368130,63
368132,18
368134,-1
368135,18
